i,j,k,r,phi
0,26,5,21.1187120819,0.0
0,26,6,20.6639783198,0.0
0,26,7,20.2484567313,0.0
0,26,8,19.8746069144,0.0
0,26,9,19.5448202857,0.0
0,26,10,19.2613602843,0.0
0,26,11,19.0262975904,0.0
0,26,12,18.8414436814,0.0
0,26,13,18.7082869339,0.0
0,26,14,18.6279360102,0.0
0,26,15,18.6010752377,0.0
0,26,16,18.6279360102,0.0
0,26,17,18.7082869339,0.0
0,26,18,18.8414436814,0.0
0,26,19,19.0262975904,0.0
0,26,20,19.2613602843,0.0
0,26,21,19.5448202857,0.0
0,26,22,19.8746069144,0.0
0,26,23,20.2484567313,0.0
0,26,24,20.6639783198,0.0
0,26,25,21.1187120819,0.0
0,26,26,21.610182785,0.0
0,26,27,22.1359436212,0.0
0,26,28,22.6936114358,0.0
0,26,29,23.2808934536,0.0
0,27,0,24.3721152139,0.0
0,27,1,23.769728648,0.0
0,27,2,23.1948270095,0.0
0,27,3,22.6495033058,0.0
0,27,4,22.1359436212,0.0
0,27,5,21.6564078277,0.0
0,27,6,21.2132034356,0.0
0,27,7,20.8086520467,0.0
0,27,8,20.4450483003,0.0
0,27,9,20.1246117975,0.0
0,27,10,19.8494332413,0.0
0,27,11,19.6214168703,0.0
